збор,значење,примери,граматички определби,преводи на други јазици,извор
аларм,,,,,
алат,,,,,
алат,,,,,
алатка,,,,,
алафојда / алапац(/ч)а,лошо девојче,,,,
Алах,,,,,
алашвериш,вообичарн разговор (диј. велешки),,,,
Албабани – се употребува за изразување на некаков вид лакомост,,,,,
албанистика,,,,,
Албинизам,,,,,
албум,,,,,
алва,,,,,
алва,,,,,
алга,,,,,
алел,,,,,
ален,,,,,
алергија,,,,,
Алергија На Јајца,,,,,
Алергија На Храна,,,,,
Алжир,,,,,
али,,,,,
Али,,,,,
алимин,алуминиум,,,,
алишта,,,,,
алка,,,,,
алка,,,,,
алка,,,,,
алка,(диј. ),,,,
алки,,,,,
Алкохолизам,,,,,
алкохоличар,,,,,
алманах,,,,,
ало,,,,,
алов,,,,,
алов,,,,,
аловина,,,,,
аловина,,,,,
Алопеција,,,,,
Алпи,,,,,
алпска,,,,,
Алпска Роза,растение,,,,
алпски,,,,,
алпски,,,,,
алпско,,,,,
Алтобус – автобус,,,,,
алфа,,,,,
алчен,,,,,
алчно,,,,,
алчност,,,,,
аљинки,алишта (диј.),,,,
аљкав,,,,,
Ам’лк – амалска работа,,,,,
Ам’салак –,,,,,
ама,,,,,
амал,,,,,
амал,,,,,
аман,,,,,
Аман,,,,,
амбалажа,,,,,
амбар,,,,,
Амборела,растение,,,,
Амброзија,растение,,,,
амвон,,,,,
амела,,,,,
Американски Ариш,растение,,,,
Американски Крмез,растение,,,,
Американски Чинар,растение,,,,
ами,,,,,
амин,,,,,
амкање,струмички збор,,,"англиски
германски
француски
руски
полски
украински
српски
италијански
словенечки
чешки",
ампер,,,,,
амплитуда,,,,,
амут,,,,,
амут,,,,,
Амфипол,,,,,
амфихидромен,,,,,
ан,,,,,
ан,,,,,
Ана,,,,,
Анална Фисура,,,,,
Анамска Рака,растение,,,,
ананас,,,,,
ананас,,,,,
анархизам,,,,,
анархист,,,,,
анасон,,,,,
анасон,,,,,
анасонка,,,,,
анасонка,,,,,
анасонка,ракија,,,,
анасонка,ракија,,,,
анатомија,,,,,
анафилакса,,,,,
Анафилакса,,,,,
анахронизам,,,,,
Анѓа,,,,,
Ангаже – прошетка под рака,,,,,
ангажираност,,,,,
ангел,,,,,
Ангел,,,,,
англоговоречки,,,,,
англофон,,,,,
англофонија,,,,,
Анди,,,,,
Андреј,,,,,
андреја,декември (диј. кавадаречки),,,,
андски,,,,,
анекс,,,,,
Анемија,,,,,
анемофилија,,,,,
анемохорен,,,,,
анис,,,,,
анјон,,,,,
Анка,,,,,
анкета,,,,,
Анксиозност,,,,,
аномалија,,,,,
Анорексија,,,,,
антанакласа,,,,,
Антанија,,,,,
Антарии – кошула,,,,,
Антемунт,,,,,
анти-,,,,,
антиисториски,,,,,
антика,,,,,
антикварница,,,,,
антипозитивизам,,,,,
антипозитивизам,,,,,
антисептик,,,,,
Антифосфолипиден Синдром,,,,,
античкомакедонски,,,,,
антракс,,,,,
антроногенеза,,,,,
антропологија,,,,,
антропологија,,,,,
анус,,,,,
"Анџ’к – имено, штотуку",,,,,
анџак,,,,,
анџиство,,,,,
Ања,,,,,
ап,,,,,
апансас,изненадно,,,,
апансас,"изненадно, брзо (диј. битолски)",,,,
апаш,,,,,
апаш,,,,,
апашиште,,,,,
апашки,,,,,
апе,,,,,
апе,,,,,
апе,,,,,
апел,,,,,
аператив,,,,,
аперативен,,,,,
апетисан,,,,,
апикултура,пчеларство,,,,
апла,,,,,
апла,,,,,
апнат,,,,,
апне,,,,,
апогеј,,,,,
апокриф,,,,,
апостол,,,,,
апостол,"1.
2. ноември (диј. кавадаречки)",,,,
април,,,,,
априори,,,,,
Апсаздан – одненадеж,,,,,
апсен,,,,,
апси,,,,,
апсида,,,,,
апсида,,,,,
апсинт,,,,,
апстракт,,,,,
апсурд,,,,,
апсцес,,,,,
апче,,,,,
апче,,,,,
арам,,,,,
Арап,,,,,
арар,,,,,
арар,,,,,
араукарија,araucariaceae,,,,
араукарија,,,,,
арач,,,,,
арач,,,,,
арачлија,,,,,
Аргаванљии – виолетова боја,,,,,
аргат,,,,,
аргат,,,,,
аргон,,,,,
аргументацион,,,,,
ареал,,,,,
Арекипа,растение,,,,
арен,,,,,
арен,,,,,
арена,,,,,
Ареометар,,,,,
Арес,,,,,
"Аресе – бендисува, допадливо",,,,,
Ариш,растение,,,,
арка,,,,,
"Арл’к – отвор, дупка од механичко потекло",,,,,
армас,веридба (диј. ),,,,
Армас – веридба,,,,,
армасница,,,,,
арно,,,,,
аронија,,,,,
аронија,,,,,
Аронија,растение,,,,
арпа,,,,,
арсен,,,,,
Арсен,,,,,
арслан,,,,,
Артериосклероза,,,,,
артист,,,,,
Артичока,растение,,,,
архаичност,,,,,
археологија,,,,,
архив,,,,,
архив,,,,,
архивар,,,,,
архиварка,,,,,
архивски,,,,,
архиејски,,,,,
архиепископ,,,,,
архијереј,,,,,
архијереј,,,,,
архитектура,,,,,
архитектура,,,,,
арч,трошок,,,,
арчен,,,,,
арчи,,,,,
арџи,,,,,
аршин,,,,,
Асии – лош човек,,,,,
Аскаријаза,,,,,
аскер,,,,,
аскет,,,,,
аски,прерамки,,,,
АСНОМ,,,,,
асоцијативен,,,,,
аспар(а),,,,,
Аспара́гус,растение,,,,
аспект,,,,,
Аспергилоза,,,,,
"астал, аст'л",маса (диј. ),,,,
астат,,,,,
Астибо,,,,,
астма,,,,,
астма,,,,,
астрономија,,,,,
асур,за постелување на плажа. сламеница (диј. битолски),,,,
асфалт,,,,,
атанасовден,,,,,
атар,,,,,
атеист,,,,,
Атлантски Кедар,растение,,,,
атлас,,,,,
атмосфера,,,,,
атов,,,,,
атол,,,,,
атом,,,,,
атрче,,,,,
ау,,,,,
аугменататив,,,,,
Аударист,,,,,
аудиовизуелен,,,,,
ауспух,,,,,
Аутизам,,,,,
афект,,,,,
афикс,,,,,
афиш,,,,,
Африканска Слива,растение,,,,
афта,,,,,
афтерка,,,,,
аха,,,,,
ахам,,,,,
Ахил,,,,,
Ахондроплазија,,,,,
"Ахт- душа, желба, мака",,,,,
Аца,,,,,
Аце,,,,,
Ацко,,,,,
Ацо,,,,,
ачек,,,,,
ачик,,,,,
Ачик – отворен,,,,,
ачкараана,рано наутро (диј. ),,,,
аџеле,итно,,,,
аџеле,итно (диј. битолски),,,,
аџилак,,,,,
ашљак,,,,,
ашов,,,,,
ашов,,,,,
ашов,,,,,
Б,,,,,
Б’’- болва,,,,,
б'ј,болви (диј. струмички),,,,
б'лтии,секира,,,,
Б’рбат – извалкан,,,,,
б'рници,обетки (диј. ),,,,
"Б’рсаци – фарбели(Битолско наречје),карнери",,,,,
б'шчинка,(диј. штипски),,,,
б('),болва (диј. струмички) ??,,,,
баба,,,,,
баба,,,,,
баба,"1.
2.
3. 
4. метален дел на гредата",,,,
Бабалар – нешто големо,,,,,
бабачко,,,,,
баби,,,,,
бабин,,,,,
бабин,,,,,
бабинчо,,,,,
бабиште,,,,,
Бабјак,растение,,,,
бабо,,,,,
бабски,,,,,
бабуле,"1.
2. балонче (диј. )",,,,
бабун,,,,,
бабун,,,,,
бабура,,,,,
бабуш,,,,,
бавен,,,,,
бавно,,,,,
бавност,,,,,
бавча,,,,,
бавча,,,,,
бавча,,,,,
бавча,,,,,
бавча,,,,,
бавча,,,,,
багаж,,,,,
багажник,,,,,
Багдад,,,,,
багер,,,,,
багер,,,,,
багерист,,,,,
багра,,,,,
багра,,,,,
багрем,,,,,
багрем,,,,,
Багрем,растение,,,,
багрем,,,,,
багри,,,,,
бадаж,,,,,
бадажер,,,,,
бадем,,,,,
бадем,,,,,
бадем,,,,,
бадем,,,,,
бадем,,,,,
бадемоок,,,,,
бадијала,(диј. ),,,,
бадник,,,,,
Бадник,,,,,
бае,,,,,
бае,,,,,
бае,,,,,
база,,,,,
базар,,,,,
базен,,,,,
базен,,,,,
базен,,,,,
базент,,,,,
базидиомицет,,,,,
баир,,,,,
Баја – многу,,,,,
бајаги,,,,,
бајаги,,,,,
бајаѓи,(диј. радовишки),,,,
бајадера,,,,,
бајалда / балајда,,,,,
бајалдиса,,,,,
бајат,,,,,
бајач,,,,,
Бајден,,,,,
бајка,,,,,
бајка,,,,,
бајки,,,,,
"Бајмак – смотан, наивен",,,,,
бајрак,,,,,
бајрактар,,,,,
Бајрам,,,,,
бајти,,,,,
бајче,"1.
2. џамлија диј.",,,,
бакал,,,,,
бакал,,,,,
Бакалница,,,,,
бакалче,"гранап, мала продавница (диј. битолски)",,,,
бакар,,,,,
бакар,,,,,
баки,,,,,
бакла,,,,,
баклавовиден,,,,,
бакнат,,,,,
бакне,,,,,
бакнеж,,,,,
бакнеж,,,,,
бакрач,,,,,
баксуз,,,,,
Бактериски Ендокардитис,,,,,
Бактиса – здодеа,,,,,
Баку,,,,,
бакшиш,,,,,
бала,,,,,
Балајдисн – замаен од убаво јадење,,,,,
баланс,,,,,
Балгам – шлајм,,,,,
балет,,,,,
балист,,,,,
Балкан,,,,,
балкон,,,,,
балон,,,,,
балон,(диј. ),,,,
балонче,(диј. ),,,,
балсам,,,,,
балски,,,,,
Балтии – секира,,,,,
балтија,секира,,,,
балтија,кутра (диј. малешевски),,,,
Балтон – зимски капут,,,,,
балчак,,,,,
Бамбарска Кикиритка,растение,,,,
бамбус,,,,,
бамбус,,,,,
бамбус,"1,
2. коктел од црвено вино со кока-кола",,,,
бамја,,,,,
бамја,,,,,
банана,,,,,
Бангкок,,,,,
банда,,,,,
бандаж,,,,,
бандит,,,,,
банер,,,,,
банка,,,,,
банкар,,,,,
банкнота,,,,,
банкомат,,,,,
банкрот,,,,,
бански,,,,,
Банско,,,,,
Банџул,,,,,
бања,,,,,
бањат,,,,,
бањи,,,,,
бањка,,,,,
бапка,,,,,
бапнат,,,,,
бапне,,,,,
бапски,,,,,
баптист,,,,,
бара,,,,,
бара,,,,,
бара,,,,,
барака,,,,,
баран,,,,,
барбароза,растение,,,,
Баргала,,,,,
бардак,,,,,
барде,,,,,
барем,,,,,
бари,,,,,
барјак,,,,,
барка,,,,,
баркод,,,,,
бармен,,,,,
барок,,,,,
бароклиност,,,,,
барон,,,,,
бароница,,,,,
барски,,,,,
барски,,,,,
барски,,,,,
барут,,,,,
барџав,,,,,
баршак,пченка (диј. струмички),,,,
басамак,скала,,,,
Басамак – скала,,,,,
басист,,,,,
баскет,,,,,
басна,,,,,
басна,,,,,
басни,,,,,
бастум,,,,,
бастун,,,,,
бастун,,,,,
батак,"1. дел од тело на жив. за месо
2. кал (диј. гостиварски)",,,,
батак,,,,,
баталјон,,,,,
батат,,,,,
бате,,,,,
бате,,,,,
батиметрија,,,,,
батка,,,,,
батко,,,,,
батко,,,,,
Батман,,,,,
бато,,,,,
бафтир,"несреден човек, размаен (диј. )",,,,
бацен,,,,,
баци,,,,,
бацил,,,,,
бацко,,,,,
баче,братче (диј. охридски),,,,
бачило,,,,,
бачило,,,,,
бачило,,,,,
бачило,,,,,
баџа,,,,,
Баџа,,,,,
баџанак,,,,,
баџи,,,,,
башак,,,,,
башак,пченка (диј. струмички),,,,
башак,пченка (диј. радовишки),,,,
башак,(диј. ),,,,
Башак – кочан пченка,,,,,
башка,,,,,
башка,,,,,
башта,татко (диј. македонскокаменички),,,,
башча,татко (диј. беровски),,,,
бдее,,,,,
бдее,,,,,
бдее,,,,,
бдее,,,,,
бдение,,,,,
бебе,,,,,
бебе,,,,,
бебенце,,,,,
бебиште,,,,,
бебурле,,,,,
бебуш,,,,,
бег,,,,,
бега,,,,,
бега,,,,,
бегло,,,,,
беглост,,,,,
бегниште,,,,,
бегов,,,,,
бегол,,,,,
бегол,,,,,
бегонија,,,,,
бегство,,,,,
бегум,,,,,
беда,,,,,
беда,,,,,
бедем,,,,,
беден,,,,,
бедник,,,,,
бедно,,,,,
бедност,,,,,
бедрен,,,,,
бедро,,,,,
Бежанци – лица од Егејска Македонија населени во Струмица после Балканските војни,,,,,
безалкохолен,,,,,
безбедност,,,,,
безбол,,,,,
безбрачност,,,,,
безброј,,,,,
безвреден,,,,,
безвременски,,,,,
безглав,,,,,
безгрижност,,,,,
бездетен,,,,,
бездна,,,,,
бездни,,,,,
бездни,,,,,
бездно,,,,,
бездруго,,,,,
бездршен,,,,,
безеље,грашок (диј. велешки),,,,
безер,срам (диј. ),,,,
беззаб,,,,,
безконфликтност,,,,,
безмалку,,,,,
Безосилеста Класатка,растение,,,,
безработник,,,,,
безрбетник,,,,,
безрбетник,,,,,
безредие,,,,,
безредие,,,,,
безусловен,,,,,
бејзбол,,,,,
Бејрут,,,,,
бека,,,,,
беќар,,,,,
бекатонка,,,,,
бекне,,,,,
бекрија,пијаница,,,,
бекство,,,,,
бекташ,,,,,
бектеш,,,,,
Бел Воден Лилјан,растение,,,,
Бел Јасен,растение,,,,
Бел Нарцис,растение,,,,
Бел Пелин,растение,,,,
Бел Синап,растение,,,,
бел слез,,,,,
Бел Слез,растение,,,,
бел трн,,,,,
Бела Бреза,растение,,,,
Бела Врба,растение,,,,
Бела Детелина,растение,,,,
Бела Дудинка,растение,,,,
Бела Имела,растение,,,,
Бела Комунига,растение,,,,
Бела Лобода,растение,,,,
Бела Полевица,растение,,,,
белак,???? некој од Ѕвегорска Сурова,,,,
белвица,,,,,
Белград,,,,,
белградски,,,,,
белег,,,,,
белег,,,,,
белегзија,"алка, нараквица (диј. )",,,,
бележан,,,,,
бележи,,,,,
белен,,,,,
Белефаритис,,,,,
белец,,,,,
белец,"1.
2.
3. риба gavia artica",,,,
белешка,,,,,
белешка,,,,,
бели,,,,,
Белиз,,,,,
белја,,,,,
белка,,,,,
белка,,,,,
белки,,,,,
белки,(диј. ),,,,
белким,,,,,
белковински,,,,,
бело,,,,,
Бело Бардаче,растение,,,,
белобрад,,,,,
белобрад,,,,,
белогаска,,,,,
белоглав,,,,,
белоглав,,,,,
Белоглава Мимоза,растение,,,,
белограден,,,,,
белогушест,,,,,
Белодробен Едем,,,,,
белокрил,,,,,
белокрстен,,,,,
беломешест,,,,,
белоопашест,,,,,
белопрутав,,пеперутка шумник,,,
белорусист,,,,,
белорусистика,,,,,
белоточкест,,,,,
белотрак,,,,,
белочелен,,,,,
беља,,,,,
бељи,,,,,
бемол,,,,,
бендер,"демек средба, состанок (диј. староскопски)",,,,
бендиса,,,,,
Бенедиктански Трн,растение,,,,
бензин,,,,,
бензиска,,,,,
Бенигна Хиперплазија На Простатата,,,,,
Бенин,,,,,
бенка,,,,,
бентален,,,,,
Бентамов Тутун,растение,,,,
бенџо,,,,,
бепче,,,,,
берат,,,,,
Берат,,,,,
берач,,,,,
берба,,,,,
берба,,,,,
бербат,,,,,
бербер,,,,,
берберница,,,,,
берберница,,,,,
бере,,,,,
берза,,,,,
берија,,,,,
берија,,,,,
Берлин,,,,,
бермуди,,,,,
бермуди,,,,,
бернец,,,,,
бернка,,,,,
бернски,,,,,
беровски,,,,,
беровски,,,,,
бес,,,,,
беса,,,,,
бесвес,,,,,
бесвест,,,,,
бесвест,,,,,
беседа,,,,,
беседништво,,,,,
бесен,,,,,
беси,,,,,
бескрај,,,,,
бескрај,,,,,
бескруполозен,,,,,
беснило,,,,,
бесно,,,,,
беспари,,,,,
беспари,(диј. ),,,,
бесплатно,,,,,
беспоредок,,,,,
беспрестано,,,,,
беспризорен,,,,,
бессилна,,,,,
бестелесни,,,,,
бесчесен,,,,,
бета,,,,,
бетер,,,,,
Бети,,,,,
Бетмен,,,,,
бетон,,,,,
бечви,,,,,
Бечви,,,,,
бечкија,,,,,
беше,,,,,
бештија,,,,,
би,бубачки (диј. радовишки),,,,
биба,патка (диј. струмички),,,,
бибер,,,,,
бибер,,,,,
бибер,,,,,
библиотека,,,,,
бивак,,,,,
бивалентност,,,,,
бивна,,,,,
бивни,,,,,
бивол,,,,,
бивол,,,,,
бивол,,,,,
бивол,,,,,
бивол,,,,,
бивши,,,,,
бигор,,,,,
бигор,,,,,
бигор,(диј. ),,,,
бигува,,,,,
бигување,,,,,
биде,,,,,
биде,,,,,
биден,,,,,
биден,(диј. охридски),,,,
бидне,,,,,
бие,,,,,
биен,,,,,
биен,,,,,
биеница,,,,,
бизел,грашок (диј. стумички),,,,
Бизељ – грашок,,,,,
бизмут,,,,,
бизнис,,,,,
бизон,,,,,
Бијам – изглед,,,,,
бик,,,,,
бик,"1. сточарско животно
2. птица",,,,
бикме,,,,,
бикче,,,,,
била,,,,,
биланс,,,,,
билбил,,,,,
билбил,,,,,
билбилче,,,,,
билда,,,,,
билдер,,,,,
биле,,,,,
Биле,,,,,
билен,,,,,
билен,,,,,
билет,,,,,
билетарница,,,,,
билија,џамлија во битола,,,,
Билјан,,,,,
билјар,,,,,
билјар,јули (диј. гевгелиски),,,,
билјард,,,,,
билје,,,,,
билјур,,,,,
билка,,,,,
билка,,,,,
билкар,,,,,
билкарство,,,,,
билки,,,,,
било,,,,,
било,"гребен, срт",,,,
билтен,,,,,
биљар,,,,,
биљбиљ,,,,,
бина,,,,,
бинго,,,,,
бини,,,,,
бином,,,,,
био,,,,,
биографизам,,,,,
биодиверзитет,,,,,
биол,,,,,
биологија,,,,,
биомаса,,,,,
биоразградлив,,,,,
биосфера,,,,,
биосфера,,,,,
биотехнологија,,,,,
биоценолошки,,,,,
бира,,,,,
биран,,,,,
бирач,,,,,
бирѓадија,курва (диј.),,,,
биро,,,,,
биро,,,,,
бирократизација,,,,,
биртија,,,,,
бисер,,,,,
бисер,,,,,
бисерка,,,,,
бисквит,,,,,
бискупија,,,,,
Бисона (Бонче),,,,,
биста,,,,,
бистар,,,,,
Бистра,,,,,
бистра,,,,,
бистрен,,,,,
бистри,,,,,
бистрички,,,,,
бистро,,,,,
битен,,,,,
битка,,,,,
битки,,,,,
битно,,,,,
битност,,,,,
битов,,,,,
битолски,,,,,
битолски,,,,,
бифе,,,,,
бифтек,,,,,
бифуркација,,,,,
бихевиористички,,,,,
бихир,,,,,
бицепс,,,,,
бич,,,,,
бич,,,,,
Бичкии – рачна пила,,,,,
бичкијаџија,човек што сечи дрва со моторна пила (диј. ),,,,
бише,(диј. неготински),,,,
бишенце,,,,,
бишка,,,,,
бишка,свиња (диј. ),,,,
бишка,,,,,
бишка,,,,,
Бишка – свиња,,,,,
Бишкек,,,,,
бишки,,,,,
благ,,,,,
Блага,,,,,
блага (ракија),,,,,
благо,,,,,
благо,,,,,
благоверен,,,,,
благовец,,,,,
Благовец,,,,,
Благовештение,,,,,
благовештение,,,,,
благодарница,,,,,
благодарност,,,,,
благодет,,,,,
благозвучност,,,,,
благонадежно,,,,,
благонаклонет,,,,,
благонаклоност,,,,,
благородник,,,,,
благородник,,,,,
благородник,,,,,
благородништво,,,,,
благородништво,,,,,
благосостојба,,,,,
благост,,,,,
благост,,,,,
благота,,,,,
благотворност,,,,,
благочестив,,,,,
благун,,,,,
благун,сладун,,,,
благуна,,,,,
блада,,,,,
блазон,,,,,
блатарка,,,,,
блатарче,,,,,
блатен,,,,,
блатен,,,,,
блато,,,,,
блато,,,,,
блато,,,,,
блед,,,,,
бледо,,,,,
бледожолт,,,,,
бледост,,,,,
блее,,,,,
блејзер,,,,,
блејзер,,,,,
блендер,,,,,
блене,,,,,
блесав,,,,,
блесав,,,,,
блеска,,,,,
блеска,,,,,
блескав,,,,,
блескот,,,,,
блесне,,,,,
блесок,,,,,
блесок,,,,,
блесок,,,,,
ближен,,,,,
ближен,,,,,
близнак,,,,,
близок,,,,,
близост,,,,,
близу,,,,,
блика,,,,,
бликне,,,,,
блискост,,,,,
блиску,,,,,
блитва,,,,,
блитва,,,,,
блитва,,,,,
блогер,,,,,
блокче,,,,,
блокче,,,,,
блуд,,,,,
блуден,,,,,
блуден,,,,,
блудец,,,,,
блудник,,,,,
блудно,,,,,
блудност,,,,,
блудност,,,,,
блудци,,,,,
блуе,,,,,
Блужд,растение,,,,
блуза,,,,,
блуза,(диј. ),,,,
блузи,,,,,
блузон,,,,,
блузон,,,,,
блуткав,,,,,
бљаботи,,,,,
бљудо,,,,,
боа,,,,,
боб,(диј. струмички),,,,
боб,грав (диј. ),,,,
бобинка,,,,,
бобинка,(диј. ),,,,
бобинка,,,,,
бобовиден,,,,,
бобовиден,,,,,
Боболка,растение,,,,
бовча,,,,,
богат,,,,,
Богда,,,,,
Богдан,,,,,
богдански,,,,,
богоизбран,клам секаде опции со спуштање за избор што-како е,,,,
богољуб,,,,,
богопримец,,,,,
богородица,,,,,
Богородица,,,,,
богословие,,,,,
богословски,,,,,
богослужба,,,,,
богослужба,,,,,
богослужба,,,,,
богохулие,,,,,
богохулие,,,,,
бодар,,,,,
боде,,,,,
бодеж,,,,,
бодеж,,,,,
боден,,,,,
боди,,,,,
бодлец,кој влегува во бабата како дел од мелницата,,,,
Бодлива Смрча,растение,,,,
Бодлика,растение,,,,
бодрен,,,,,
бодри,,,,,
бодро,,,,,
бодрост,,,,,
Бодрум,,,,,
боем,,,,,
боен,,,,,
боже,,,,,
божем,,,,,
божем,,,,,
божемен,,,,,
божемски,(диј. ),,,,
божидар,,,,,
Божик,,,,,
божиќ,,,,,
Божиќ,,,,,
Божиќен Кактус,растение,,,,
божја,,,,,
божјак,,,,,
божји,,,,,
божур,,,,,
божур(а),Nymphaeaceae,,,,
боза,,,,,
боза,,,,,
боздоган,,,,,
боздоганер,оној којшто му го носел боздоганот на вооружениот војник,,,,
боздоганлија,војник наоружен со боздоган,,,,
бозел,,,,,
бозел,,,,,
Бозел,растение,,,,
бозје,,,,,
бозон,,,,,
бои,,,,,
Бој – сукна,,,,,
боја,,,,,
Бојан,,,,,
бојкот,,,,,
бојлер,,,,,
Бојмија,,,,,
бојник,,,,,
бојник,,,,,
бојник,,,,,
бокал,,,,,
бокал,,,,,
Боки,,,,,
бокс,,,,,
боксер,,,,,
боксерки,,,,,
болва,,,,,
болва,,,,,
болен,,,,,
болест,,,,,
болест,,,,,
боли,,,,,
боливар,камилица,,,,
болид,,,,,
болка,,,,,
болки,,,,,
болник,,,,,
болница,,,,,
болница,,,,,
болно,,,,,
болсне,,,,,
бомба,,,,,
бомбаш,,,,,
бомбица,"1.
2. слатко",,,,
бон,,,,,
бонбонче,,,,,
бонела,(диј. ),,,,
бонтон,,,,,
бонус,,,,,
бонус,,,,,
бонче,,,,,
Бонче,,,,,
бооо,(диј. ),,,,
бор,,,,,
боранија,,,,,
